22º00'42"S
47º53'22"W
873.5m


Distance (m),Elevation (m)
21738.498331997678,659.62890625
21868.668980692277,659.4010009765625
21998.839629386872,659.8424072265625
22129.01027808147,659.9071044921875
22259.180926776065,659.7195434570312
22389.351575470664,659.0568237304688
22519.52222416526,658.9430541992188
22649.692872859858,655.6083374023438
22779.863521554453,655.9306030273438
22910.03417024905,655.3629760742188
23040.204818943646,654.2252197265625
23170.375467638245,651.2996215820312
23300.54611633284,651.59814453125
23430.71676502744,651.0932006835938
23560.887413722034,649.514404296875
23691.058062416632,650.2421264648438
23821.228711111227,649.1488647460938
23951.399359805826,650.552490234375
24081.57000850042,650.633056640625
24211.74065719502,655.564697265625
24341.911305889615,662.0588989257812
24472.081954584213,666.2471923828125
24602.25260327881,671.9972534179688
24732.423251973407,675.57666015625
24862.593900668002,682.5973510742188
24992.7645493626,694.0106201171875
25122.9351980572,702.346435546875
25253.105846751794,708.4588012695312
25383.276495446393,716.6098022460938
25513.447144140988,723.194091796875
25643.617792835586,728.9847412109375
25773.78844153018,732.3373413085938
25903.95909022478,733.3087158203125
26034.129738919375,732.8629150390625
26164.300387613974,733
26294.47103630857,734.0851440429688
26424.641685003167,736.5604858398438
26554.812333697762,742.8182983398438
26684.98298239236,744.5322265625
26815.153631086956,744.3646850585938
26945.324279781555,742.8533325195312
27075.49492847615,739.2462158203125
27205.66557717075,736.5249633789062
27335.836225865343,735.5091552734375
27466.006874559942,733.4192504882812
27596.177523254537,732.35986328125
27726.348171949136,737.27880859375
27856.51882064373,740.4512329101562
27986.68946933833,744.2608642578125
28116.860118032924,749.4229736328125
28247.030766727523,753.3944702148438
28377.201415422118,756.896240234375
28507.372064116717,757.1441650390625
28637.54271281131,755.5336303710938
28767.71336150591,754.212646484375
28897.884010200505,752.345703125
29028.054658895104,749.876708984375
29158.225307589702,747.1696166992188
29288.395956284297,742.9334106445312
29418.566604978896,741.5996704101562
29548.73725367349,739.2161865234375
29678.90790236809,737.3319091796875
29809.078551062685,735.58984375
29939.249199757283,734.6497192382812
30069.41984845188,733.065185546875
30199.590497146477,731.9837036132812
30329.761145841072,730.6173095703125
30459.93179453567,731.6066284179688
30590.102443230266,732.4844360351562
30720.273091924864,732.3309936523438
30850.44374061946,732.328125
30980.614389314058,732.3411254882812
31110.785038008653,730.0430297851562
31240.95568670325,727.7411499023438
31371.126335397847,722.9511108398438
31501.296984092445,718.3910522460938
31631.46763278704,716.0870361328125
31761.63828148164,712.2929077148438
31891.808930176234,706.5919799804688
